iter	Passed	Remaining
165	386	1943
166	389	1940
167	390	1933
168	391	1924
169	392	1916
170	393	1908
171	394	1900
172	395	1892
173	396	1883
174	397	1874
175	398	1865
176	401	1866
177	403	1864
178	404	1857
179	405	1849
180	406	1840
181	407	1831
182	408	1823
183	409	1815
184	410	1806
185	410	1798
186	411	1790
187	412	1782
188	413	1774
189	414	1768
190	418	1772
191	419	1764
192	420	1757
193	421	1749
194	421	1741
195	422	1734
196	423	1726
197	424	1719
198	425	1711
199	426	1704
200	426	1696
201	427	1689
202	428	1682
203	430	1678
204	431	1674
205	433	1669
206	434	1663
207	435	1656
208	435	1649
209	436	1642
210	437	1636
211	438	1629
212	439	1622
213	440	1616
214	440	1609
215	441	1603
216	442	1597
217	444	1592
218	445	1590
219	447	1588
220	448	1582
221	449	1576
222	450	1570
223	451	1564
224	452	1557
225	453	1551
226	453	1545
227	454	1539
228	455	1533
229	456	1528
230	457	1522
231	458	1517
232	461	1519
233	462	1515
234	464	1511
235	465	1506
236	466	1500
237	467	1495
238	468	1490
239	468	1485
240	469	1479
241	471	1475
242	471	1470
243	473	1466
244	476	1467
245	477	1464
246	478	1460
247	479	1455
248	480	1450
249	481	1444
250	482	1439
251	483	1434
252	484	1429
253	485	1424
254	485	1419
255	486	1414
256	488	1411
257	490	1409
258	491	1406
259	493	1403
260	494	1399
261	495	1394
262	495	1389
263	497	1386
264	498	1382
265	499	1377
266	500	1373
267	501	1369
268	504	1371
269	507	1371
270	508	1368
271	510	1365
272	511	1361
273	512	1357
274	513	1352
275	513	1348
276	514	1343
277	515	1339
278	517	1337
279	520	1338
280	523	1338
281	524	1334
282	525	1330
283	526	1326
284	527	1322
285	528	1318
286	529	1314
287	529	1310
288	531	1307
289	533	1306
290	535	1304
291	536	1300
292	537	1296
293	538	1292
294	539	1288
295	539	1284
296	540	1280
297	541	1276
298	542	1272
299	543	1268
300	544	1264
301	545	1260
302	547	1259
303	548	1256
304	550	1254
305	551	1250
306	552	1247
307	553	1243
308	554	1240
309	555	1236
310	556	1232
311	557	1229
312	558	1225
313	559	1221
314	560	1218
315	562	1217
316	564	1216
317	565	1212
318	566	1209
319	567	1205
320	568	1201
321	568	1197
322	569	1194
323	570	1190
324	571	1187
325	572	1183
326	573	1180
327	574	1176
328	576	1175
329	577	1172
330	579	1170
331	580	1167
332	581	1164
333	582	1160
334	583	1157
335	583	1153
336	584	1150
337	585	1146
338	586	1143
339	587	1139
340	588	1136
341	588	1133
342	590	1131
343	592	1130
344	593	1127
345	594	1124
346	595	1120
347	596	1117
348	597	1114
349	598	1110
350	598	1107
351	599	1104
352	600	1101
353	601	1097
354	602	1094
355	603	1091
356	605	1089
357	606	1087
358	607	1085
359	609	1083
360	610	1080
361	611	1076
362	611	1073
363	612	1070
364	613	1067
365	614	1064
366	615	1061
367	616	1058
368	617	1055
369	618	1052
370	620	1052
371	623	1051
372	624	1049
373	625	1046
374	625	1043
375	626	1040
376	627	1037
377	628	1034
378	629	1031
379	630	1028
380	630	1025
381	631	1022
382	632	1019
383	634	1017
384	636	1016
385	638	1014
386	639	1012
387	640	1009
388	641	1007
389	642	1004
390	643	1002
391	644	1000
392	645	997
393	647	995
394	648	993
395	651	993
396	653	992
397	654	989
398	655	987
399	656	984
400	657	982
401	658	980
402	659	977
403	660	975
404	661	972
405	663	970
406	664	968
407	666	966
408	667	964
409	668	962
410	669	959
411	670	956
412	671	954
413	672	951
414	673	949
415	674	946
416	674	943
417	675	941
418	676	938
419	679	938
420	681	937
421	682	935
422	683	932
423	684	930
424	685	927
425	686	924
426	687	922
427	688	919
428	688	916
429	689	914
430	690	911
431	692	910
432	694	908
433	695	907
434	696	905
435	698	902
436	698	900
437	699	897
438	700	895
439	701	892
440	702	890
441	703	887
442	704	885
443	704	882
444	707	882
445	710	882
446	712	881
447	713	879
448	715	877
449	716	875
450	717	872
451	717	870
452	718	867
453	719	865
454	720	862
455	723	863
456	725	861
457	726	859
458	727	857
459	728	855
460	729	852
461	730	850
462	731	848
463	732	845
464	733	843
465	737	845
